manufacturer,year,model,total_range_in_mls,electric_consumption,electric_storage,analogue_consumption,analogue_storage,emission_value,min_price,max_price,car_type
Chevrolet,2021,Silverado 4WD,420,0,0.0,20,24.0,443,33900.0,57700.0,Regular Gasoline
Chevrolet,2020,Silverado 4WD,428,0,0.0,20,24.0,442,35500.0,56800.0,Regular Gasoline
Chevrolet,2020,Silverado 4WD,480,0,0.0,20,24.0,442,35500.0,56800.0,Regular Gasoline
Chevrolet,2019,Silverado C10 2WD,428,0,0.0,20,24.0,442,32200.0,53300.0,Regular Gasoline
Chevrolet,2019,Silverado K10 4WD,480,0,0.0,20,24.0,442,35500.0,56600.0,Regular Gasoline
Chevrolet,2023,Silverado 2WD,434,0,0.0,20,24.0,453,36300.0,62100.0,Regular Gasoline
Chevrolet,2020,Colorado 2WD,480,0,0.0,20,21.0,440,21300.0,33900.0,Regular Gasoline
Chevrolet,2019,Colorado 2WD,380,0,0.0,20,21.0,440,20600.0,34000.0,Regular Gasoline
Chevrolet,2023,Colorado 2WD,380,0,0.0,20,21.4,446,29200.0,31600.0,Regular Gasoline
Chevrolet,2024,Colorado 4WD,380,0,0.0,20,24.0,446,32800.0,40200.0,Regular Gasoline
Chevrolet,2024,Colorado 4WD,380,0,0.0,20,21.4,447,32800.0,40200.0,Regular Gasoline
Chevrolet,2024,Silverado 2WD,380,0,0.0,20,24.0,453,36800.0,62700.0,Regular Gasoline
Chevrolet,2023,Traverse AWD,380,0,0.0,20,0.0,448,36520.0,54200.0,Regular Gasoline
Chevrolet,2022,Traverse AWD,380,0,0.0,20,0.0,448,35700.0,53400.0,Regular Gasoline
Chevrolet,2021,Traverse AWD,380,0,0.0,20,0.0,439,34900.0,53100.0,Regular Gasoline
Chevrolet,2020,Traverse AWD,380,0,0.0,20,0.0,442,34900.0,53200.0,Regular Gasoline
Chevrolet,2019,Traverse AWD,380,0,0.0,20,0.0,438,34900.0,53200.0,Regular Gasoline
Chevrolet,2024,Traverse Limited AWD,380,0,0.0,20,21.7,450,36520.0,54200.0,Regular Gasoline
Chevrolet,2020,Silverado 2WD,380,0,0.0,20,24.0,448,28300.0,53300.0,Regular Gasoline
Chevrolet,2020,Camaro,399,0,0.0,20,19.0,451,,,Premium Gasoline
Chevrolet,2019,Camaro,399,0,0.0,20,19.0,445,25000.0,68000.0,Regular Gasoline
Chevrolet,2019,Camaro,399,0,0.0,20,19.0,450,25000.0,68000.0,Premium Gasoline
Chevrolet,2024,Camaro,399,0,0.0,20,19.0,451,30900.0,78100.0,Regular Gasoline
Chevrolet,2024,Camaro,456,0,0.0,20,19.0,452,30900.0,78100.0,Premium Gasoline
Chevrolet,2023,Camaro,456,0,0.0,20,19.0,453,26400.0,73300.0,Regular Gasoline
Chevrolet,2023,Camaro,456,0,0.0,20,19.0,453,26400.0,73300.0,Premium Gasoline
Chevrolet,2022,Camaro,456,0,0.0,20,19.0,452,,,Regular Gasoline
Chevrolet,2022,Camaro,399,0,0.0,20,19.0,452,25000.0,69000.0,Premium Gasoline
Chevrolet,2021,Camaro,399,0,0.0,20,19.0,453,25000.0,69000.0,Regular Gasoline
Chevrolet,2021,Camaro,399,0,0.0,20,19.0,452,25000.0,69000.0,Premium Gasoline
Chevrolet,2020,Camaro,399,0,0.0,20,19.0,451,,,Regular Gasoline
Chevrolet,2022,Colorado ZR2 4WD,456,0,0.0,19,21.0,525,42600.0,44200.0,Diesel
Chevrolet,2021,Colorado ZR2 4WD,456,0,0.0,19,21.0,525,41600.0,43200.0,Diesel
Chevrolet,2020,Colorado ZR2 4WD,456,0,0.0,19,21.0,525,41400.0,43000.0,Diesel
Chevrolet,2019,Colorado ZR2 4WD,456,0,0.0,19,21.0,524,41300.0,42900.0,Diesel
Chevrolet,2024,Silverado 4WD,407,0,0.0,19,24.0,468,41400.0,66500.0,Regular Gasoline
Chevrolet,2023,Silverado 4WD,456,0,0.0,19,24.0,462,40900.0,65900.0,Regular Gasoline
Chevrolet,2023,Silverado 4WD,456,0,0.0,19,24.0,459,40900.0,65900.0,Regular Gasoline
Chevrolet,2019,Silverado K10 4WD,456,0,0.0,19,24.0,464,35500.0,56600.0,Regular Gasoline
Chevrolet,2022,Colorado 4WD,352,0,0.0,19,21.0,465,29100.0,38600.0,Regular Gasoline
Chevrolet,2021,Colorado 4WD,352,0,0.0,19,21.0,465,29100.0,37600.0,Regular Gasoline
Chevrolet,2020,Colorado 4WD,361,0,0.0,19,21.0,461,28700.0,37700.0,Regular Gasoline
Chevrolet,2019,Colorado 4WD,361,0,0.0,19,21.0,461,28700.0,37300.0,Regular Gasoline
Chevrolet,2019,Silverado C10 XFE 2WD,361,0,0.0,19,24.0,456,32200.0,53300.0,Regular Gasoline
Chevrolet,2021,Silverado 2WD,361,0,0.0,19,24.0,460,29300.0,53900.0,Regular Gasoline
Chevrolet,2020,Silverado 2WD,361,0,0.0,19,24.0,460,28300.0,53300.0,Regular Gasoline
Chevrolet,2019,Silverado C10 2WD,361,0,0.0,19,24.0,467,32200.0,53300.0,Regular Gasoline
Chevrolet,2023,Colorado 4WD,352,0,0.0,19,21.4,467,32500.0,39900.0,Regular Gasoline
Chevrolet,2024,Silverado 2WD,352,0,0.0,19,24.0,470,36800.0,62700.0,Regular Gasoline
Chevrolet,2023,Silverado 2WD,352,0,0.0,19,24.0,478,36300.0,62100.0,Regular Gasoline
Chevrolet,2023,Silverado 2WD,456,0,0.0,19,24.0,478,36300.0,62100.0,Regular Gasoline
Chevrolet,2024,Corvette,456,0,0.0,19,18.5,472,68300.0,87050.0,Premium Gasoline
Chevrolet,2019,Corvette,352,0,0.0,19,18.5,465,55900.0,135400.0,Premium Gasoline
Chevrolet,2024,Camaro,352,0,0.0,19,19.0,477,30900.0,78100.0,Premium Gasoline
Chevrolet,2023,Camaro,385,0,0.0,19,19.0,477,26400.0,73300.0,Premium Gasoline
Chevrolet,2022,Camaro,432,0,0.0,19,19.0,477,,,Premium Gasoline
