manufacturers,year,model,total_range_in_miles,emission_value,min_price,max_price,car_type,electric_consumption,electric_storage,analogue_consumption,analogue_storage,links
Chevrolet,2019,Impala,504,409,28020.0,36720.0,Regular Gasoline,0,0,22,18.5,Find.do?action=sbs&id=40198
Chevrolet,2021,Silverado 2WD,504,423,29300.0,53900.0,Regular Gasoline,0,0,21,24.0,Find.do?action=sbs&id=43186
Chevrolet,2021,Silverado 2WD,504,421,29300.0,53900.0,Regular Gasoline,0,0,21,24.0,Find.do?action=sbs&id=43187
Chevrolet,2020,Silverado 2WD,504,421,28300.0,53300.0,Regular Gasoline,0,0,21,24.0,Find.do?action=sbs&id=41824
Chevrolet,2019,Silverado C10 2WD,504,421,32200.0,53300.0,Regular Gasoline,0,0,21,24.0,Find.do?action=sbs&id=40944
Chevrolet,2022,Silverado Mud Terrain Tires 4WD,456,479,,,Unknown,0,0,21,24.0,Find.do?action=sbs&id=44583
Chevrolet,2024,Silverado 4WD ZR2,456,484,69900.0,69900.0,Unknown,0,0,21,24.0,Find.do?action=sbs&id=46834
Chevrolet,2023,Blazer AWD,407,417,37800.0,45700.0,Regular Gasoline,0,0,21,21.7,Find.do?action=sbs&id=45382
Chevrolet,2022,Blazer AWD,407,417,36100.0,44000.0,Regular Gasoline,0,0,21,21.7,Find.do?action=sbs&id=44018
Chevrolet,2021,Blazer AWD,449,413,35400.0,44900.0,Regular Gasoline,0,0,21,19.4,Find.do?action=sbs&id=42964
Chevrolet,2020,Blazer FWD,441,414,28800.0,42700.0,Regular Gasoline,0,0,21,19.4,Find.do?action=sbs&id=41964
Chevrolet,2024,Colorado 2WD,441,420,29500.0,31900.0,Regular Gasoline,0,0,21,21.4,Find.do?action=sbs&id=47362
Chevrolet,2022,Colorado 4WD,441,431,29100.0,38600.0,Regular Gasoline,0,0,21,21.0,Find.do?action=sbs&id=44354
Chevrolet,2021,Colorado 4WD,441,431,29100.0,37600.0,Regular Gasoline,0,0,21,21.0,Find.do?action=sbs&id=42549
Chevrolet,2020,Colorado 4WD,449,428,28700.0,37700.0,Regular Gasoline,0,0,21,21.0,Find.do?action=sbs&id=41625
Chevrolet,2019,Colorado 4WD,456,429,28700.0,37300.0,Regular Gasoline,0,0,21,21.0,Find.do?action=sbs&id=40391
Chevrolet,2023,Colorado 4WD,407,427,32500.0,39900.0,Regular Gasoline,0,0,21,21.4,Find.do?action=sbs&id=46460
Chevrolet,2023,Traverse FWD,259,417,34520.0,52000.0,Regular Gasoline,0,0,21,0,Find.do?action=sbs&id=45384
Chevrolet,2022,Traverse FWD,259,417,33700.0,51200.0,Regular Gasoline,0,0,21,0,Find.do?action=sbs&id=44086
Chevrolet,2021,Traverse FWD,238,420,29800.0,50900.0,Regular Gasoline,0,0,21,0,Find.do?action=sbs&id=43203
Chevrolet,2020,Traverse FWD,259,420,29800.0,50900.0,Regular Gasoline,0,0,21,0,Find.do?action=sbs&id=41524
Chevrolet,2019,Traverse FWD,259,420,29930.0,45500.0,Regular Gasoline,0,0,21,0,Find.do?action=sbs&id=40296
